-1,223,8,2,9,26,40,55,72,-2,-44,-59,-67,-104
1,227,8,2,9,14,18,84,91,-21,-27,-41,-54,-104
-1,136,2,2,1,9,10,27,44,-5,-21,-25,-70,-93
1,227,2,2,9,52,56,84,98,-1,-23,-39,-54,-86
1,184,2,3,21,39,44,63,93,-4,-8,-26,-42,-59
1,231,2,2,25,32,42,45,62,-9,-22,-38,-98,-110
1,152,2,2,21,30,44,59,105,-6,-35,-48,-54,-73
-1,153,2,2,1,28,32,64,99,-15,-18,-35,-44,-86
-1,223,8,2,29,43,65,86,94,-20,-34,-42,-71,-103
-1,153,2,2,6,11,44,59,95,-5,-7,-32,-41,-63
-1,133,9,2,6,10,26,62,75,-35,-44,-47,-60,-98
-1,124,2,3,4,30,32,94,95,-8,-26,-76,-84,-93
1,154,2,3,4,7,8,32,74,-9,-42,-62,-90,-98
1,151,2,2,30,55,89,93,99,-1,-16,-34,-88,-106
-1,223,9,2,9,14,19,21,70,-16,-22,-23,-62,-63
1,154,2,3,11,28,36,68,73,-27,-34,-49,-51,-110
-1,227,2,3,18,19,23,41,101,-2,-6,-26,-55,-102
-1,224,2,3,11,16,28,67,75,-17,-32,-35,-41,-87
1,225,2,2,9,79,81,87,104,-7,-14,-17,-42,-82
-1,187,2,2,12,20,22,23,81,-8,-14,-16,-59,-88
-1,225,8,3,6,20,21,70,93,-8,-41,-44,-87,-103
-1,152,2,3,8,10,50,59,96,-2,-6,-40,-62,-98
-1,231,2,2,1,9,25,28,57,-6,-16,-53,-94,-102
1,156,2,2,4,6,9,84,104,-41,-44,-48,-67,-112
1,227,2,2,8,18,84,100,110,-10,-28,-30,-31,-74
-1,137,2,3,11,51,68,93,112,-9,-21,-22,-54,-84
-1,131,2,2,42,44,45,57,59,-12,-14,-32,-50,-78
-1,136,2,3,8,32,34,38,87,-9,-19,-26,-41,-88
-1,155,2,3,1,14,19,26,49,-5,-41,-44,-74,-93
-1,227,2,3,1,28,62,74,98,-9,-14,-37,-84,-93
1,151,2,2,4,8,25,32,109,-11,-23,-41,-44,-74
1,231,2,2,28,35,59,67,99,-6,-20,-72,-74,-79
-1,204,2,2,11,14,44,61,86,-2,-5,-9,-28,-93
-1,144,2,2,5,29,42,61,104,-6,-32,-35,-74,-99
-1,138,9,2,48,72,73,85,100,-55,-82,-93,-112,-113
-1,133,2,3,2,5,14,63,81,-10,-50,-55,-79,-93
